TP9,AF7,AF8,TP10
571.77734375,-92.7734375,101.07421875,-582.03125
612.79296875,-79.1015625,114.74609375,-395.5078125
832.51953125,-70.80078125,122.0703125,-752.9296875
599.12109375,-83.984375,100.09765625,-1000.0
107.91015625,-83.0078125,103.515625,-739.74609375
1.46484375,-69.3359375,119.140625,-402.83203125
180.6640625,-71.2890625,112.79296875,-626.46484375
48.33984375,-84.9609375,103.02734375,-994.62890625
-364.74609375,-83.0078125,104.4921875,-851.07421875
-524.4140625,-68.359375,119.140625,-489.74609375
-299.31640625,-73.2421875,111.81640625,-579.1015625
-220.703125,-83.984375,90.8203125,-944.3359375
-567.87109375,-79.58984375,97.16796875,-963.37890625
-821.2890625,-73.73046875,113.28125,-600.5859375
-612.79296875,-76.171875,114.2578125,-526.3671875
-395.99609375,-93.75,94.23828125,-865.234375
-636.71875,-89.84375,93.75,-1000.0
-937.5,-74.21875,111.328125,-803.7109375
-794.921875,-81.54296875,115.72265625,-561.03515625
-500.48828125,-84.9609375,113.76953125,-811.5234375
-604.98046875,-81.0546875,104.98046875,-1000.0
-940.91796875,-76.66015625,105.46875,-894.04296875
-926.7578125,-75.1953125,109.86328125,-603.515625
-609.86328125,-80.078125,104.00390625,-756.8359375
-622.55859375,-81.0546875,100.09765625,-1000.0
-926.7578125,-83.0078125,107.421875,-944.3359375
-1000.0,-75.68359375,110.3515625,-661.1328125
-792.48046875,-72.75390625,107.91015625,-672.36328125
-608.88671875,-71.2890625,117.67578125,-971.19140625
-840.33203125,-71.2890625,119.140625,-1000.0
-1000.0,-78.61328125,118.1640625,-747.0703125
-788.57421875,-74.70703125,122.0703125,-613.28125
-502.44140625,-66.89453125,124.0234375,-891.11328125
-642.08984375,-71.2890625,125.0,-1000.0
-893.5546875,-79.1015625,128.41796875,-839.84375
-750.9765625,-81.54296875,128.41796875,-600.5859375
-420.8984375,-81.54296875,125.0,-823.2421875
-460.44921875,-78.125,122.55859375,-1000.0
-741.69921875,-88.37890625,110.3515625,-906.73828125
-718.26171875,-75.1953125,121.09375,-642.578125
-383.30078125,-60.546875,131.8359375,-793.9453125
-279.296875,-79.1015625,113.76953125,-1000.0
-551.7578125,-77.63671875,120.1171875,-997.0703125
-682.12890625,-72.265625,139.16015625,-754.8828125
-391.6015625,-72.265625,133.30078125,-734.86328125
-174.8046875,-79.58984375,120.1171875,-984.86328125
-427.734375,-89.84375,120.60546875,-1000.0
-678.22265625,-89.35546875,130.859375,-815.91796875
-459.9609375,-87.890625,130.37109375,-687.98828125
-166.9921875,-87.890625,124.0234375,-913.57421875
-315.4296875,-93.75,117.67578125,-1000.0
-609.86328125,-81.0546875,137.6953125,-890.13671875
-509.27734375,-68.84765625,147.94921875,-698.73046875
-160.15625,-87.890625,127.44140625,-869.140625
-157.2265625,-100.5859375,117.1875,-1000.0
-465.8203125,-89.35546875,140.13671875,-958.984375
-492.1875,-83.0078125,145.01953125,-737.79296875
-179.19921875,-95.21484375,135.25390625,-812.01171875
-84.47265625,-104.98046875,139.16015625,-1000.0
-392.578125,-107.421875,138.18359375,-1000.0
-562.5,-98.14453125,140.625,-769.04296875
-270.5078125,-100.5859375,125.48828125,-673.828125
-59.08203125,-98.14453125,137.6953125,-923.828125
-329.58984375,-80.56640625,162.59765625,-1000.0
-611.328125,-91.796875,159.66796875,-837.40234375
-425.29296875,-95.703125,161.62109375,-677.24609375
-120.60546875,-89.84375,161.1328125,-899.90234375
-229.4921875,-93.75,160.15625,-1000.0
-520.5078125,-95.703125,162.109375,-905.76171875
-461.9140625,-91.796875,176.26953125,-713.37890625
-127.44140625,-85.44921875,179.19921875,-863.76953125
-84.47265625,-90.8203125,169.921875,-1000.0
-371.09375,-95.703125,166.50390625,-974.609375
-434.5703125,-97.65625,166.50390625,-749.0234375
-122.55859375,-82.51953125,177.734375,-805.6640625
39.0625,-78.125,174.8046875,-1000.0
-219.23828125,-89.35546875,164.0625,-1000.0
-390.625,-85.9375,170.41015625,-783.69140625
-114.2578125,-78.61328125,179.6875,-675.29296875
149.90234375,-85.9375,169.921875,-926.7578125
-25.87890625,-84.47265625,154.78515625,-1000.0
-272.94921875,-73.2421875,164.55078125,-768.5546875
-103.515625,-79.58984375,169.921875,-488.28125
201.66015625,-92.28515625,154.296875,-765.625
118.1640625,-102.5390625,131.34765625,-1000.0
-181.640625,-94.7265625,139.6484375,-816.40625
-144.04296875,-72.75390625,179.6875,-461.42578125
189.94140625,-83.0078125,177.734375,-607.91015625
244.62890625,-91.796875,158.69140625,-979.98046875
-41.015625,-82.51953125,170.8984375,-808.59375
-114.74609375,-71.77734375,185.546875,-304.6875
192.3828125,-80.56640625,174.8046875,-279.296875
351.07421875,-95.21484375,159.1796875,-702.1484375
85.9375,-90.33203125,164.55078125,-867.1875
-120.60546875,-90.33203125,174.8046875,-588.37890625
114.74609375,-109.375,163.0859375,-497.55859375
